Date;Price;Open;High;Low;Vol.;Change %
01/24/2011;3,346.06;3,380.50;3,396.85;3,321.68;2.26B;-0.99
01/21/2011;3,379.54;3,453.27;3,453.27;3,309.62;3.37B;-2.16
01/20/2011;3,454.12;3,534.00;3,534.00;3,441.63;3.01B;-2.27
01/19/2011;3,534.28;3,548.65;3,558.67;3,511.64;2.50B;-0.4
01/18/2011;3,548.65;3,536.20;3,548.69;3,507.97;2.76B;0.37
01/17/2011;3,535.73;3,568.77;3,569.97;3,506.87;2.02B;-0.94
01/14/2011;3,569.14;3,564.65;3,569.64;3,518.56;2.53B;0.12
01/13/2011;3,564.94;3,555.33;3,630.68;3,549.01;4.33B;0.29
01/12/2011;3,554.77;3,455.41;3,555.39;3,455.41;5.04B;2.88
01/11/2011;3,455.13;3,478.08;3,550.36;3,434.27;3.84B;-0.67
01/10/2011;3,478.55;3,631.27;3,631.27;3,449.58;4.55B;-4.21
01/07/2011;3,631.45;3,734.37;3,734.37;3,607.33;3.64B;-2.81
01/06/2011;3,736.26;3,782.99;3,789.47;3,720.57;2.88B;-1.25
01/05/2011;3,783.71;3,759.97;3,786.05;3,728.91;3.36B;0.63
01/04/2011;3,760.06;3,727.80;3,763.38;3,724.47;5.31B;0.87
01/03/2011;3,727.52;3,704.44;3,738.59;3,704.44;3.52B;0.65
12/30/2010;3,703.51;3,698.94;3,718.98;3,689.03;2.05B;0.12
12/29/2010;3,699.22;3,660.09;3,704.01;3,660.09;1.89B;1.07
12/28/2010;3,659.99;3,625.73;3,672.18;3,623.83;2.01B;0.96
12/27/2010;3,625.27;3,612.00;3,626.25;3,601.48;1.87B;0.38
12/23/2010;3,611.53;3,621.63;3,626.12;3,587.99;1.98B;-0.25
12/22/2010;3,620.68;3,637.69;3,649.98;3,610.57;2.24B;-0.46
12/21/2010;3,637.45;3,569.46;3,642.10;3,569.46;2.55B;1.92
12/20/2010;3,568.81;3,589.15;3,591.29;3,537.67;3.58B;-0.36
12/17/2010;3,581.57;3,571.46;3,601.85;3,536.66;3.13B;0.28
12/16/2010;3,571.74;3,657.47;3,657.47;3,554.85;4.01B;-2.37
12/15/2010;3,658.31;3,691.11;3,691.11;3,613.67;4.15B;-0.85
12/14/2010;3,689.67;3,692.42;3,712.34;3,676.73;3.58B;-0.07
12/13/2010;3,692.23;3,747.81;3,751.93;3,681.32;3.80B;-1.48
12/10/2010;3,747.71;3,784.66;3,784.66;3,728.98;4.95B;-1.01
12/09/2010;3,786.10;3,771.49;3,788.57;3,764.29;4.78B;0.43
12/08/2010;3,769.99;3,722.91;3,771.79;3,722.91;4.31B;1.28
12/06/2010;3,722.35;3,696.73;3,728.97;3,696.73;3.98B;0.71
12/03/2010;3,696.26;3,694.67;3,728.09;3,679.84;3.98B;0.05
12/02/2010;3,694.58;3,619.85;3,706.40;3,619.85;6.52B;2.09
12/01/2010;3,619.09;3,530.93;3,619.09;3,530.93;6.65B;2.49
11/30/2010;3,531.21;3,631.54;3,633.99;3,529.85;7.97B;-2.74
11/29/2010;3,630.64;3,642.88;3,642.88;3,573.22;5.04B;-0.33
11/26/2010;3,642.50;3,701.92;3,710.46;3,632.09;9.06B;-1.61
11/25/2010;3,702.01;3,659.16;3,710.94;3,659.16;8.58B;1.18
11/24/2010;3,658.78;3,677.62;3,684.15;3,619.88;5.43B;-0.53
11/23/2010;3,678.19;3,741.04;3,741.04;3,658.58;6.74B;-1.69
11/22/2010;3,741.23;3,725.33;3,742.94;3,707.89;5.46B;0.43
11/19/2010;3,725.05;3,678.47;3,725.05;3,678.47;8.39B;1.28
11/18/2010;3,677.90;3,673.55;3,682.37;3,641.17;13.78B;0.11
11/16/2010;3,674.03;3,656.94;3,682.80;3,637.90;6.79B;0.48
11/15/2010;3,656.46;3,665.09;3,674.57;3,633.15;5.71B;-0.26
11/12/2010;3,665.85;3,744.52;3,744.53;3,633.42;5.87B;-2.1
11/11/2010;3,744.62;3,757.35;3,777.92;3,721.89;7.83B;-0.33
11/10/2010;3,756.97;3,738.06;3,759.48;3,731.19;7.13B;0.52
11/09/2010;3,737.48;3,699.15;3,742.77;3,689.75;5.96B;1.03
11/08/2010;3,699.26;3,655.40;3,700.54;3,654.48;4.13B;1.2
11/05/2010;3,655.30;3,629.72;3,665.85;3,629.72;4.95B;0.72
11/04/2010;3,629.05;3,605.86;3,633.69;3,604.72;4.17B;0.65
11/03/2010;3,605.67;3,625.68;3,641.73;3,590.37;4.73B;-0.55
11/02/2010;3,625.49;3,644.18;3,648.26;3,616.37;4.94B;-0.54
11/01/2010;3,645.15;3,635.52;3,663.79;3,621.56;3.82B;0.27
