Date;Price;Open;High;Low;Vol.;Change %
08/03/2018;82336;82352;82750;82252;32.44M;-0.01
08/02/2018;82344;82576;82651;81917;50.02M;-0.28
08/01/2018;82577;82785;82955;82308;49.27M;-0.25
07/31/2018;82784;82227;82957;82213;75.43M;0.66
07/30/2018;82239;82375;82510;82129;42.42M;-0.17
07/27/2018;82375;81439;82375;81439;33.51M;1.15
07/26/2018;81439;81748;82008;81439;56.03M;-0.36
07/25/2018;81737;81446;81806;81384;47.42M;0.36
07/24/2018;81444;81056;81536;80965;54.21M;0.48
07/23/2018;81054;80820;81410;80661;39.97M;0.28
07/20/2018;80831;80685;80882;80394;47.61M;0.17
07/19/2018;80691;80563;80871;80149;94.83M;0.16
07/18/2018;80563;80300;80655;80210;41.45M;0.33
07/17/2018;80300;80137;80961;79844;47.03M;0.19
07/16/2018;80146;80840;80899;80146;36.55M;-0.82
07/13/2018;80809;81815;81971;80615;52.63M;-1.24
07/12/2018;81823;82654;82665;81515;41.37M;-1.01
07/11/2018;82656;83347;83347;82233;42.62M;-0.84
07/10/2018;83358;82425;83442;82418;65.35M;1.16
07/09/2018;82406;81285;82425;81285;61.93M;1.39
07/06/2018;81279;81803;81852;81098;56.47M;-0.63
07/05/2018;81798;81455;82113;81307;66.17M;0.43
07/04/2018;81448;81259;81644;80974;139.45M;0.24
07/03/2018;81252;80776;81524;80605;160.22M;0.64
07/02/2018;80733;81369;81369;80335;139.89M;-0.78
06/29/2018;81368;81000;81901;81000;56.91M;0.46
06/28/2018;80993;81534;81774;80970;45.57M;-0.68
06/27/2018;81551;80391;81717;80141;72.64M;1.44
06/26/2018;80392;80188;80748;80139;77.77M;0.25
06/25/2018;80191;81410;81430;80180;53.59M;-1.44
06/22/2018;81364;80375;81423;80040;62.15M;1.23
06/21/2018;80374;81266;81425;80370;39.93M;-1.1
06/20/2018;81266;81672;82070;81185;62.53M;-0.47
06/19/2018;81650;81809;81897;81203;40.18M;-0.3
06/18/2018;81895;82543;82543;81595;57.69M;-0.79
06/15/2018;82545;82664;82828;82140;73.59M;-0.15
06/14/2018;82667;82375;82733;81935;37.98M;0.36
06/13/2018;82373;82666;82920;82326;42.85M;-0.35
06/12/2018;82664;82890;83092;82475;42.81M;-0.27
06/11/2018;82887;82240;82931;82240;38.36M;0.83
06/08/2018;82202;81902;82360;81520;60.60M;0.37
06/07/2018;81902;80997;81984;80997;91.92M;1.22
06/06/2018;80913;80550;81402;80549;50.29M;0.46
06/05/2018;80543;80990;81201;80439;50.04M;-0.45
06/04/2018;80906;80745;81211;80630;44.33M;0.22
06/01/2018;80730;80291;81013;80245;38.46M;0.58
