"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2008","1,464.48","1,462.18","1,464.61","1,454.37","","0.16%"
"09/23/2008","1,462.18","1,496.56","1,500.93","1,461.26","","-2.30%"
"09/22/2008","1,496.56","1,440.60","1,496.56","1,440.60","","3.88%"
"09/19/2008","1,440.60","1,351.67","1,442.85","1,351.67","","6.58%"
"09/18/2008","1,351.67","1,404.70","1,404.70","1,342.88","","-3.78%"
"09/17/2008","1,404.70","1,442.59","1,442.59","1,404.32","","-2.63%"
"09/16/2008","1,442.59","1,461.78","1,461.78","1,442.48","","-1.31%"
"09/15/2008","1,461.78","1,529.15","1,529.15","1,458.91","","-4.41%"
"09/12/2008","1,529.15","1,555.19","1,555.19","1,528.98","","-1.67%"
"09/11/2008","1,555.19","1,575.26","1,575.26","1,555.19","","-1.27%"
"09/10/2008","1,575.26","1,584.09","1,584.09","1,573.30","","-0.56%"
"09/09/2008","1,584.09","1,605.34","1,608.54","1,583.34","","-1.32%"
"09/08/2008","1,605.34","1,606.87","1,612.62","1,604.87","","-0.10%"
"09/05/2008","1,606.87","1,630.09","1,630.09","1,606.81","","-1.42%"
"09/04/2008","1,630.09","1,639.60","1,639.60","1,627.89","","-0.58%"
"09/03/2008","1,639.60","1,645.77","1,649.25","1,639.59","","-0.37%"
"09/02/2008","1,645.77","1,650.15","1,655.89","1,645.63","","-0.27%"
"09/01/2008","1,650.15","1,649.19","1,655.12","1,641.76","","0.06%"
"08/29/2008","1,649.19","1,638.21","1,650.76","1,638.21","","0.67%"
"08/28/2008","1,638.21","1,632.87","1,640.85","1,632.87","","0.33%"
"08/27/2008","1,632.87","1,645.45","1,645.45","1,632.16","","-0.76%"
"08/26/2008","1,645.45","1,660.17","1,660.17","1,645.45","","-0.89%"
"08/25/2008","1,660.17","1,660.28","1,663.90","1,651.18","","-0.01%"
"08/22/2008","1,660.28","1,658.63","1,660.52","1,647.69","","0.10%"
"08/21/2008","1,658.63","1,658.63","1,658.63","1,658.63","","-0.71%"
"08/20/2008","1,670.52","1,703.42","1,703.42","1,670.23","","-1.93%"
"08/19/2008","1,703.42","1,715.66","1,715.66","1,700.48","","-0.71%"
"08/18/2008","1,715.66","1,713.94","1,724.73","1,713.94","","0.10%"
"08/14/2008","1,713.94","1,716.57","1,716.57","1,710.13","","-0.15%"
"08/13/2008","1,716.57","1,723.30","1,731.39","1,714.88","","-0.39%"
"08/12/2008","1,723.30","1,739.58","1,739.58","1,723.22","","-0.94%"
"08/11/2008","1,739.58","1,743.62","1,745.13","1,733.87","","-0.20%"
"08/08/2008","1,743.01","1,743.01","1,743.01","1,743.01","","0.00%"
"08/07/2008","1,743.01","1,748.63","1,751.42","1,743.01","","-0.32%"
"08/06/2008","1,748.63","1,744.34","1,748.94","1,742.92","","0.54%"
"08/05/2008","1,739.27","1,735.58","1,740.52","1,731.25","","0.21%"
"08/04/2008","1,735.58","1,737.72","1,737.72","1,730.02","","-0.12%"
"08/01/2008","1,737.72","1,755.94","1,755.94","1,736.83","","-1.04%"
"07/31/2008","1,755.94","1,746.85","1,756.25","1,743.66","","0.52%"
"07/30/2008","1,746.85","1,722.64","1,746.99","1,722.64","","1.41%"
"07/29/2008","1,722.64","1,716.13","1,722.64","1,700.37","","0.38%"
"07/28/2008","1,716.13","1,706.99","1,716.30","1,698.32","","0.54%"
"07/25/2008","1,706.99","1,724.75","1,724.75","1,703.39","","-1.03%"
"07/24/2008","1,724.75","1,698.68","1,727.80","1,694.83","","1.53%"
"07/23/2008","1,698.68","1,676.73","1,698.68","1,674.34","","1.31%"
"07/22/2008","1,676.73","1,677.05","1,686.36","1,675.44","","-0.02%"
"07/21/2008","1,677.05","1,661.41","1,679.60","1,659.36","","0.94%"
"07/18/2008","1,661.41","1,660.30","1,667.69","1,651.48","","0.07%"
"07/17/2008","1,660.30","1,643.08","1,662.36","1,643.08","","1.05%"
"07/16/2008","1,643.08","1,665.54","1,665.54","1,642.97","","-1.35%"
"07/15/2008","1,665.54","1,673.80","1,673.80","1,660.61","","-0.49%"
"07/14/2008","1,673.80","1,698.88","1,698.88","1,668.83","","-1.48%"
"07/11/2008","1,698.88","1,721.43","1,724.94","1,698.88","","-1.31%"
"07/10/2008","1,721.43","1,712.97","1,731.41","1,712.97","","0.49%"
"07/09/2008","1,712.97","1,684.17","1,712.97","1,684.17","","1.71%"
"07/08/2008","1,684.17","1,671.62","1,684.17","1,663.35","","0.75%"
"07/07/2008","1,671.62","1,672.77","1,676.87","1,670.82","","-0.07%"
"07/04/2008","1,672.77","1,680.33","1,684.44","1,671.86","","-0.45%"
"07/03/2008","1,680.33","1,701.87","1,701.87","1,680.33","","-1.27%"
"07/02/2008","1,701.87","1,715.77","1,716.13","1,697.05","","-0.81%"
"07/01/2008","1,715.77","1,745.75","1,745.75","1,715.77","","-1.72%"
"06/30/2008","1,745.75","1,732.13","1,745.75","1,719.76","","-0.04%"
"06/27/2008","1,746.43","1,726.39","1,751.70","1,714.41","","1.16%"
"06/26/2008","1,726.39","1,739.62","1,739.62","1,726.39","","-0.76%"
"06/24/2008","1,739.62","1,765.50","1,765.50","1,736.88","","-1.47%"
"06/23/2008","1,765.50","1,764.49","1,781.82","1,764.49","","0.06%"
"06/20/2008","1,764.49","1,712.90","1,764.49","1,705.94","","3.01%"
"06/19/2008","1,712.90","1,728.03","1,728.03","1,688.20","","-0.88%"
"06/18/2008","1,728.03","1,750.36","1,750.57","1,727.90","","-1.28%"
"06/17/2008","1,750.36","1,762.50","1,762.50","1,749.79","","-0.69%"
"06/16/2008","1,762.50","1,761.52","1,762.50","1,761.52","","0.19%"
"06/13/2008","1,759.22","1,781.21","1,782.35","1,756.69","","-1.23%"
"06/12/2008","1,781.21","1,800.69","1,800.69","1,781.21","","-1.08%"
"06/11/2008","1,800.69","1,808.96","1,808.96","1,798.13","","-0.46%"
"06/10/2008","1,808.96","1,833.79","1,833.79","1,808.96","","-1.35%"
"06/09/2008","1,833.79","1,846.19","1,846.19","1,832.27","","-0.67%"
"06/06/2008","1,846.19","1,846.91","1,846.91","1,836.22","","-0.04%"
"06/05/2008","1,846.91","1,861.64","1,861.64","1,846.60","","-0.79%"
"06/04/2008","1,861.64","1,884.05","1,884.05","1,861.43","","-1.19%"
"06/03/2008","1,884.05","1,880.26","1,884.05","1,877.04","","0.20%"
"06/02/2008","1,880.26","1,865.69","1,880.26","1,853.88","","0.78%"
"05/30/2008","1,865.69","1,865.69","1,865.69","1,865.69","","-0.34%"
"05/29/2008","1,872.13","1,868.30","1,872.45","1,860.00","","0.20%"
"05/28/2008","1,868.30","1,862.63","1,868.31","1,862.63","","0.30%"
"05/27/2008","1,862.63","1,875.08","1,877.61","1,860.85","","-0.66%"
"05/26/2008","1,875.08","1,876.82","1,885.13","1,871.72","","-0.09%"
"05/23/2008","1,876.82","1,900.55","1,900.55","1,876.03","","-1.25%"
"05/22/2008","1,900.55","1,918.49","1,918.49","1,898.88","","-0.94%"
"05/21/2008","1,918.49","1,916.96","1,918.84","1,911.24","","0.08%"
"05/20/2008","1,916.96","1,925.47","1,925.47","1,913.48","","-0.44%"
"05/19/2008","1,925.47","1,926.94","1,930.44","1,925.10","","-0.08%"
"05/16/2008","1,926.94","1,912.48","1,926.94","1,912.48","","0.76%"
"05/15/2008","1,912.48","1,915.47","1,915.47","1,909.22","","-0.16%"
"05/14/2008","1,915.47","1,926.09","1,929.01","1,914.72","","-0.55%"
"05/13/2008","1,926.09","1,933.38","1,933.72","1,917.97","","-0.38%"
"05/12/2008","1,933.38","1,927.75","1,933.38","1,915.64","","0.29%"
"05/09/2008","1,927.75","1,938.29","1,938.29","1,920.75","","-0.54%"
"05/08/2008","1,938.29","1,967.95","1,967.95","1,937.45","","-1.51%"
"05/07/2008","1,967.95","1,936.54","1,978.34","1,936.54","","1.62%"
"05/06/2008","1,936.54","1,892.60","1,936.54","1,892.60","","2.32%"
"05/05/2008","1,892.60","1,865.35","1,892.60","1,861.54","","1.46%"
"04/30/2008","1,865.35","1,866.33","1,877.23","1,864.71","","-0.05%"
