"","PD38026MD"
"","Indicadores bursátiles - Índice General Bursátil BVL (índice)"
27Ago07,20944.57
28Ago07,20423.76
29Ago07,20549.55
30Ago07,20549.55
31Ago07,20846.26
03Set07,20853.82
04Set07,20685.49
05Set07,20166.28
06Set07,20268.06
07Set07,19653.57
10Set07,18818.48
11Set07,19412.41
12Set07,19548.81
13Set07,19782.2
14Set07,19624.61
17Set07,19516.92
18Set07,20165.86
19Set07,20999.8
20Set07,20762.8
21Set07,21114.45
24Set07,21352.51
25Set07,21324.54
26Set07,21613.15
27Set07,21941.54
28Set07,21823.44
01Oct07,21958.31
02Oct07,21763.77
03Oct07,21758.24
04Oct07,21738.13
05Oct07,21911.93
08Oct07,21911.93
09Oct07,22034.66
10Oct07,22177.13
11Oct07,22402.72
12Oct07,22653.83
15Oct07,22684.39
16Oct07,22392.39
17Oct07,22382.74
18Oct07,22180.17
19Oct07,21930.55
22Oct07,21461.7
23Oct07,21613.57
24Oct07,21391.05
25Oct07,21453.18
26Oct07,21809.99
29Oct07,22036.66
30Oct07,21772.46
31Oct07,21696.27
01Nov07,21696.27
02Nov07,21346.74
05Nov07,20982.28
06Nov07,20877.43
07Nov07,20186.01
08Nov07,19689.96
09Nov07,19797.8
12Nov07,19442.17
13Nov07,19415.46
14Nov07,19835
15Nov07,19438.14
16Nov07,19210.4
19Nov07,18195.49
20Nov07,17389.26
21Nov07,16955.48
22Nov07,17505.33
23Nov07,17836.92
26Nov07,17860.43
27Nov07,17477.09
28Nov07,17842.83
29Nov07,17942.76
30Nov07,18255.97
03Dic07,18518.33
04Dic07,18511.9
05Dic07,18718.54
06Dic07,19073.69
07Dic07,19137.6
10Dic07,19062.71
11Dic07,18915.38
12Dic07,18909.73
13Dic07,18397.77
14Dic07,17859.86
17Dic07,16981.53
18Dic07,16729.58
19Dic07,17040.91
20Dic07,17249.7
21Dic07,17644.06
24Dic07,17644.06
25Dic07,17644.06
26Dic07,17639.28
27Dic07,17550.3
28Dic07,17524.79
31Dic07,17524.79
01Ene08,17524.79
02Ene08,17329.16
03Ene08,17634.37
04Ene08,17583.8
07Ene08,17453.93
08Ene08,17483.23
09Ene08,17122.23
10Ene08,16845.55
11Ene08,16486.69
14Ene08,16414.25
15Ene08,15691.14
16Ene08,14847.69
17Ene08,14795.86
18Ene08,14701.11
21Ene08,13472.93
22Ene08,14115.46
23Ene08,13279
24Ene08,13604.22
25Ene08,13877.7
28Ene08,13819.75
29Ene08,14166.25
30Ene08,14544.41
31Ene08,15009.98
01Feb08,15363.98
04Feb08,15953.57
05Feb08,15387.95
06Feb08,15501.44
07Feb08,15442.36
08Feb08,15841.08
11Feb08,16059.26
12Feb08,16483.16
13Feb08,16531.76
14Feb08,16444.1
15Feb08,16052.78
18Feb08,16129.88
19Feb08,16439.8
20Feb08,16597.54
21Feb08,17009.58
22Feb08,16883.14
25Feb08,17028.99
26Feb08,17337.17
27Feb08,17778.16
28Feb08,18053.07
29Feb08,17766.94
03Mar08,17853.71
04Mar08,17255.58
05Mar08,17544.44
06Mar08,17513.84
07Mar08,17575.34
10Mar08,17463.95
11Mar08,17776.72
12Mar08,18064.87
13Mar08,17957.69
14Mar08,17877.81
17Mar08,17350.6
18Mar08,17606.93
19Mar08,17277.42
20Mar08,17277.42
