"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2008","219.66","217.54","222.58","212.43","682.74M","3.48%"
"11/20/2008","212.28","213.28","213.98","209.12","655.23M","-3.20%"
"11/19/2008","219.29","235.17","235.17","218.36","540.22M","-6.67%"
"11/18/2008","234.95","237.69","238.87","229.05","565.42M","-2.30%"
"11/17/2008","240.47","253.02","253.87","239.45","528.68M","-5.42%"
"11/14/2008","254.25","255.45","257.68","252.27","533.33M","1.29%"
"11/13/2008","251.00","245.01","253.23","245.01","593.75M","-0.96%"
"11/12/2008","253.43","260.80","260.83","250.09","477.40M","-2.11%"
"11/11/2008","258.89","263.12","263.12","257.77","329.77M","-3.39%"
"11/10/2008","267.98","271.21","276.67","267.82","363.53M","0.56%"
"11/07/2008","266.48","272.44","275.59","265.06","440.21M","-2.65%"
"11/06/2008","273.74","272.02","276.97","268.56","643.52M","-1.73%"
"11/05/2008","278.56","293.63","293.63","278.56","528.14M","-5.07%"
"11/04/2008","293.43","280.75","294.00","276.17","663.70M","4.84%"
"11/03/2008","279.88","281.32","286.08","277.82","475.97M","0.56%"
"10/31/2008","278.33","266.70","278.59","262.29","782.20M","4.11%"
"10/30/2008","267.33","266.85","271.82","264.97","782.86M","7.38%"
"10/28/2008","248.95","247.20","250.44","246.37","324.62M","2.29%"
"10/27/2008","243.37","236.30","244.36","234.45","554.99M","0.66%"
"10/24/2008","241.77","240.76","245.30","235.72","598.12M","-3.45%"
"10/23/2008","250.41","254.91","260.21","240.84","907.47M","-2.28%"
"10/22/2008","256.24","259.81","265.48","255.79","526.08M","-4.11%"
"10/21/2008","267.23","270.28","279.79","266.55","803.07M","-0.15%"
"10/20/2008","267.64","264.08","268.12","258.55","568.94M","3.46%"
"10/17/2008","258.70","281.20","281.20","258.33","634.43M","-6.27%"
"10/16/2008","276.01","275.02","281.86","270.12","741.74M","-6.26%"
"10/15/2008","294.44","304.31","304.72","291.80","405.73M","-3.58%"
"10/14/2008","305.36","308.76","308.76","301.14","626.79M","5.43%"
